kali,20180930_143639+0000, 8A:15:04:6E:54:F1,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,5,2,0,-87
kali,20180930_143639+0000, 8A:15:04:6E:54:FF,x00x00x00x00,5,2,0,-88
kali,20180930_143507+0000, 8A:15:04:A3:53:15,Capital Factory Members,20,1,1,-84
kali,20180930_143357+0000, 8A:15:04:A3:53:15,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,10,5,0,-84
kali,20180930_143357+0000, 8A:15:04:A3:53:15,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,10,5,0,-86
kali,20180930_143507+0000, 8A:15:04:A3:53:15,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,20,1,1,-84
kali,20180930_143639+0000, 8A:15:04:A3:53:15,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,5,2,0,-84
kali,20180930_143357+0000, 8A:15:04:A3:53:16,Capital Factory Guests,10,5,0,-86
kali,20180930_143639+0000, 8A:15:04:A3:53:16,Capital Factory Guests,5,2,0,-82
kali,20180930_143639+0000, 8A:15:04:A3:53:16,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,5,2,0,-84
kali,20180930_143357+0000, 8A:15:04:A3:53:17,AppleTV,10,5,0,-87
kali,20180930_143639+0000, 8A:15:04:A3:53:17,AppleTV,5,2,0,-84
kali,20180930_143357+0000, 8A:15:04:A3:53:1A,AustinCodingAcademy2,10,5,0,-85
kali,20180930_143639+0000, 8A:15:04:A3:53:1A,AustinCodingAcademy2,5,2,0,-84
kali,20180930_143357+0000, 8A:15:04:A3:53:1C,CF VR Lab,10,5,0,-87
kali,20180930_143639+0000, 8A:15:04:A3:53:1C,CF VR Lab,5,2,0,-84
kali,20180930_143357+0000, 8A:15:04:A3:53:1F,x00x00x00x00,10,5,0,-82
kali,20180930_143507+0000, 8A:15:04:A3:53:1F,x00x00x00x00,20,1,1,-83
kali,20180930_143639+0000, 8A:15:04:A3:53:1F,x00x00x00x00,5,2,0,-81
kali,20180930_143357+0000, 8A:15:04:A3:6E:A0,AustinCodingAcademy1,10,5,0,-72
kali,20180930_143507+0000, 8A:15:04:A3:6E:A0,AustinCodingAcademy1,20,1,1,-79
kali,20180930_143639+0000, 8A:15:04:A3:6E:A0,AustinCodingAcademy1,5,2,0,-73
kali,20180930_143357+0000, 8A:15:04:A3:6E:A0,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,10,5,0,-73
kali,20180930_143507+0000, 8A:15:04:A3:6E:A0,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,20,1,1,-73
kali,20180930_143639+0000, 8A:15:04:A3:6E:A0,x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00x00,5,2,0,-71
